objectid,filename,title,subject,date,location,format,description,type,latitude ,longitude,Creator,Brand,Identifier,rights,source
achieve-beanie-front,achieve-beanie-front.jpeg,Achievement Hunter Beanie,Achievement Hunter,2015-12,"Indianapolis, Indiana",image/jpeg,"In 2015, I became a fan of Achievement Hunter. This hat was a gift from my parents for Christmas 2015. I ended up going to their convention the next two years where I would purchase more merch and hats",beanie,39.851923,-86.110353,Quality Internet Goods,Rooster Teeth,black; green,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
achieve-green-front,achieve-green-front.JPG,Achievement Hunter Dad,Achievement Hunter,2016-07,"Austin, Texas",image/jpeg,This is my go to hat. I bought this hat at the Rooster Teeth convention in 2016.,baseball cap,30.2711286,-97.7436995,Quality Internet Goods,Rooster Teeth,black; green,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
achieve-rainbow-front,achieve-rainbow-front.JPG,Achievement Hunter Pride,Achievement Hunter,,"Austin, Texas",image/jpeg,I bought this hat during pride month one year.,baseball cap,30.2711286,-97.7436995,Quality Internet Goods,Rooster Teeth,black; red; orange; yellow; pale turquoise; blue; violet,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
blue-wall-front,blue-wall-front.JPG,Blue Wall VR,Blue Wall VR,2018-11,"Indianapolis, Indiana",image/jpeg,"In undergrad, I had a couple friends who owned their VR buisness that run successfully for a couple years before they closed do the Covid-19 pandemic. This hat was a gift",baseball cap,39.851923,-86.110353,,Blue Wall VR,white; black; light sky blue,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
buick-front,buick-front.JPG,Buick Open,Golf,,"Grand Blanc, Michigan",image/jpeg,I once attented the Buick Open gold tournament when it was in Grand Blanc Michigan. This hat was a gift.,baseball cap,42.92478,-83.62259,Imperial,Buick Open,beige; black,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
catan-front,catan-front.JPG,Settlers of Catan,Catan,2022-08,"Indianapolis, Indiana",image/jpeg,I bought this hat at the 2022 GenCon convention,baseball cap,39.851923,-86.110353,Catan,Settlers of Catan,saddlebrown; goldenrod,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
cowboy-front,cowboy-front.JPG,Cowboy Hat from Wyoming,Cowboy,2022-07,"Cheyenne, Wyoming",image/jpeg,I picked this hat up at an antique store in Cheyenne Wyoming on a road trip during the summer of 2022,cowboy hat,41.13998,-104.820244,Woolrich,,black; brown,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
cycling-usa-front,cycling-usa-front.JPG,Cycling USA Sports Cap,Cycling,2019-02,"Indianapolis, Indiana",image/jpeg,"This is a sports cap, that I bought in early part of 2019",sports cap,39.851923,-86.110353,PaceCaps,Cycling USA,white; red; medium blue,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
ferrari-front,ferrari-front.JPG,Ferrari F1 Racing,Formula 1,2022-10,"Bloomington, Indiana",image/jpeg,"As a Ferrari fan, I decided to buy a hat in support of their F1 team in the autumn of 2022",baseball cap,39.156929,-86.523655,Puma,Ferrari,red; black; yellow; white; green,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
fez,fez.JPG,Doctor Who Fez,Fez,2014-08,"Indianapolis, Indiana",image/jpeg,This was a fez I bought to wear to a Doctor Who convention in 2014.,fez,39.851923,-86.110353,Elope Inc,,firebrick,Hats Collection © 2022 by Jerome D Bingham,"Private collection, Jerome D Bingham, Bloomington, Indiana"
